,ME,R,measured_displacement,t,axis,dimension,filename,from,position,rsa_axis,to,true_displacement,displacement_error
29,0.01868827942500036,"[[0.9999997621630629, 0.0006405151893658602, 0.00025576182353812194], [-0.0006404955537553424, 0.9999997919299276, -7.684755789305858e-05], [-0.00025581099234942207, 7.668372530513244e-05, 0.9999999643401707]]",126.8229577418306,"[0.1268229577418306, 0.001830954245954379, 0.007923220377768252]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx300,150.0,-23.177042258169394
30,0.03611893721839569,"[[0.9999990359491474, 0.0010396758077531644, 0.0009204210942611633], [-0.0010393373952616374, 0.9999993921497004, -0.0003680733745393015], [-0.0009208032117652916, 0.0003671163916355954, 0.9999995086733793]]",177.15122203235316,"[0.17715122203235317, 0.003906847954216422, 0.007472397359772942]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx350,200.0,-22.84877796764684
31,0.03196605670558978,"[[0.9999996020078742, 0.0007619172723795548, 0.0004641833292296374], [-0.0007618349115302061, 0.9999996940359271, -0.00017758271170913222], [-0.00046431849054140835, 0.00017722900996800813, 0.999999876499101]]",235.3505468086767,"[0.2353505468086767, 0.002105031559900843, 0.014699402452543659]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx400,250.0,-14.649453191323289
32,0.05469324911113214,"[[0.9999988769572896, 0.0010126058253538965, 0.001104859086793894], [-0.0010122010549044411, 0.9999994204339645, -0.0003668525040961201], [-0.001105229923437714, 0.00036573375257141803, 0.9999993223525894]]",298.57848356590614,"[0.29857848356590616, -0.0012611502616956722, 0.004706945644778268]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx450,300.0,-1.42151643409386
33,0.07523994704617497,"[[0.9999972850120017, 0.0022670009841117265, 0.0005391429900424724], [-0.0022666550545217983, 0.999997225451695, -0.0006413764694764008], [-0.0005405954952511806, 0.0006401526769632354, 0.9999996489804687]]",380.5131336121249,"[0.38051313361212485, -0.006175166486506044, 0.004127987271124723]",x,0,delta x at isocenter.yaml,dx150,isocenter,Ant-Post,dx500,350.0,30.513133612124875
34,0.013940654354881708,"[[0.9999999942363328, 6.712090086219836e-05, 8.379807893416614e-05], [-6.71016347106265e-05, 0.9999999713232289, -0.0002298932632910658], [-8.381350717359569e-05, 0.000229887638977954, 0.999999970063484]]",65.34891661339971,"[0.06534891661339971, -0.00336079535693098, -0.015231358448287682]",x,0,delta x at isocenter.yaml,dx200,isocenter,Ant-Post,dx250,50.0,15.348916613399709
35,0.01816716720633162,"[[0.9999999395592054, 0.00034750393410854305, 1.1072480537747498e-05], [-0.0003475023162476275, 0.9999999289945914, -0.00014578392365190482], [-1.1123140238125229e-05, 0.00014578006712795294, 0.9999999893122237]]",103.19955917887975,"[0.10319955917887975, -0.008921452028052914, -0.003673232368553517]",x,0,delta x at isocenter.yaml,dx200,isocenter,Ant-Post,dx300,100.0,3.1995591788797526
36,0.035558375211520034,"[[0.9999994926872173, 0.0007469048767375946, 0.0006758390433361033], [-0.0007466096739810476, 0.9999996258280374, -0.00043694138966327733], [-0.0006761651441113578, 0.0004364365800294132, 0.9999996761618523]]",153.51710114643373,"[0.15351710114643374, -0.006843965162798128, -0.004122346571678898]",x,0,delta x at isocenter.yaml,dx200,isocenter,Ant-Post,dx350,150.0,3.517101146433731
37,0.032041457835750894,"[[0.9999998661005761, 0.00046869191727599017, 0.00021937802179389124], [-0.0004686378273856622, 0.9999998597966444, -0.0002465467055476041], [-0.00021949354548475846, 0.00024644386369556987, 0.9999999455440011]]",211.75607889165093,"[0.21175607889165093, -0.008651021681888178, 0.003094809063623772]",x,0,delta x at isocenter.yaml,dx200,isocenter,Ant-Post,dx400,200.0,11.75607889165093
38,0.0546694034400952,"[[0.9999993709842859, 0.0007197715167027768, 0.0008602092746675934], [-0.0007193968753916617, 0.9999996462934326, -0.0004357535382439578], [-0.0008605226133913826, 0.00043513443228380115, 0.9999995350793209]]",274.9675441668735,"[0.2749675441668735, -0.012013566899855941, -0.0068943070336656195]",x,0,delta x at isocenter.yaml,dx200,isocenter,Ant-Post,dx450,250.0,24.967544166873495
